hour,da_min,da_q1,da_median,da_q3,da_max,rt_min,rt_q1,rt_median,rt_q3,rt_max
0,19.91,28.59,33.3,38.44,61.78,16.7,25.28,29.53,38.285,152.93
1,20.64,29.8025,34.06,39.7,60.32,19.25,25.6,30.35,39.21,110.58
2,20.8,30.259999999999998,34.815,39.4875,59.9,16.18,26.0625,30.47,38.947500000000005,198.36
3,20.72,29.225,33.83,39.0525,66.69,14.61,25.2525,30.07,38.8075,127.46
4,20.48,27.7575,32.515,38.43,77.54,8.52,25.0075,29.075,36.625,270.12
5,20.1,26.3975,31.63,37.599999999999994,81.31,5.86,24.4925,27.98,35.3275,99.8
6,18.71,25.8475,30.265,37.2075,99.05,2.54,23.9,27.2,34.292500000000004,159.07
7,18.1,25.545,29.185,36.5025,84.2,5.37,23.36,26.46,33.86,117.75
8,18.73,25.822499999999998,29.29,35.5725,71.78,9.67,23.425,26.175,32.1425,116.19
9,20.61,29.055,33.325,38.832499999999996,64.2,14.27,25.0175,28.615000000000002,37.185,178.66
10,21.76,32.515,36.97,43.045,71.79,15.66,26.09,30.765,42.6875,194.85
11,23.71,31.7975,35.849999999999994,41.19499999999999,63.9,17.98,26.1525,29.78,38.54,928.65
12,21.16,27.747500000000002,31.96,35.7325,59.45,11.91,23.832500000000003,27.185000000000002,32.6,350.4
13,16.5,24.3125,26.799999999999997,30.6125,54.35,7.88,21.845,24.325,28.8725,149.07
14,14.15,22.29,23.93,26.982499999999998,46.49,3.29,20.68,22.939999999999998,26.2325,72.7
15,10.0,20.67,22.42,24.68,40.83,-23.66,18.7975,21.490000000000002,24.4075,76.12
16,9.14,19.185000000000002,21.3,23.6,40.26,-22.35,18.45,21.119999999999997,23.66,148.27
17,8.43,18.435000000000002,20.685000000000002,22.8425,34.22,-17.63,17.7725,20.475,23.195,41.44
18,7.45,18.157500000000002,20.34,22.645,32.51,-29.93,17.775000000000002,20.265,22.86,58.66
19,10.31,18.467499999999998,20.759999999999998,22.65,34.11,-0.55,18.62,21.15,23.12,68.46000000000001
20,8.81,19.775000000000002,21.979999999999997,24.0825,38.01,-22.36,19.4375,21.975,24.0225,70.85000000000001
21,13.51,21.3175,23.865000000000002,27.43,46.2,-3.11,20.612499999999997,23.2,26.615000000000002,167.57
22,16.53,24.072499999999998,27.64,31.705000000000002,57.87,14.22,22.5875,25.465,30.759999999999998,398.54
23,19.31,26.7675,31.03,36.935,63.8,16.17,24.175,27.895000000000003,35.2125,159.34
